day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-10-02,MES,LONG,2024-10-02 12:00:00-04:00,5768.50,2024-10-02 15:00:00-04:00,5760.25,2,SESSION_FLATTEN,-0.233,-85.46,94.5,False
2024-10-03,MES,SHORT,2024-10-03 13:00:00-04:00,5734.75,2024-10-03 15:00:00-04:00,5749.25,2,SESSION_FLATTEN,-0.409,-147.96,94.6,False
2024-10-04,MES,LONG,2024-10-04 13:00:00-04:00,5781.00,2024-10-04 15:00:00-04:00,5799.50,2,SESSION_FLATTEN,0.532,182.04,92.7,False
2024-10-09,MES,LONG,2024-10-09 12:00:00-04:00,5838.50,2024-10-09 15:00:00-04:00,5839.75,3,SESSION_FLATTEN,0.044,14.31,81.0,False
2024-10-10,MES,LONG,2024-10-10 12:00:00-04:00,5837.25,2024-10-10 15:00:00-04:00,5828.50,3,SESSION_FLATTEN,-0.307,-135.69,75.9,False
2024-10-14,MES,LONG,2024-10-14 13:00:00-04:00,5904.00,2024-10-14 15:00:00-04:00,5909.00,3,SESSION_FLATTEN,0.188,70.56,71.0,False
2024-10-16,MES,LONG,2024-10-16 13:00:00-04:00,5878.50,2024-10-16 15:00:00-04:00,5886.00,4,SESSION_FLATTEN,0.356,144.08,65.1,False
2024-10-17,MES,LONG,2024-10-17 12:00:00-04:00,5910.50,2024-10-17 14:00:00-04:00,5888.80,4,STOP,-1.012,-439.88,63.8,False
2024-10-18,MES,LONG,2024-10-18 12:00:00-04:00,5900.00,2024-10-18 15:00:00-04:00,5906.00,4,SESSION_FLATTEN,0.295,114.08,59.3,False
2024-10-22,MES,LONG,2024-10-22 12:00:00-04:00,5879.00,2024-10-22 15:00:00-04:00,5892.25,4,SESSION_FLATTEN,0.642,259.08,60.6,False
2024-10-23,MES,SHORT,2024-10-23 12:00:00-04:00,5855.75,2024-10-23 13:00:00-04:00,5817.00,2,SCALE_OUT,0.000,386.02,66.8,True
2024-10-23,MES,SHORT,2024-10-23 12:00:00-04:00,5855.75,2024-10-23 14:00:00-04:00,5805.87,3,TARGET,1.990,632.47,66.8,True
2024-10-24,MES,SHORT,2024-10-24 12:00:00-04:00,5837.25,2024-10-24 15:00:00-04:00,5849.50,3,SESSION_FLATTEN,-0.439,-188.19,74.5,False
2024-10-29,MES,LONG,2024-10-29 13:00:00-04:00,5874.00,2024-10-29 15:00:00-04:00,5871.50,3,SESSION_FLATTEN,-0.092,-41.94,72.5,False
2024-10-30,MES,LONG,2024-10-30 12:00:00-04:00,5884.50,2024-10-30 13:00:00-04:00,5858.76,3,STOP,-1.010,-390.53,68.0,False
2024-10-31,MES,SHORT,2024-10-31 12:00:00-04:00,5759.75,2024-10-31 15:00:00-04:00,5736.00,3,SESSION_FLATTEN,0.831,351.81,87.3,False
2024-11-04,MES,SHORT,2024-11-04 12:00:00-05:00,5734.00,2024-11-04 15:00:00-05:00,5744.25,2,SESSION_FLATTEN,-0.286,-105.46,95.5,False
2024-11-06,MES,LONG,2024-11-06 13:00:00-05:00,5941.00,2024-11-06 15:00:00-05:00,5957.50,2,SESSION_FLATTEN,0.389,162.04,113.2,False
2024-11-07,MES,LONG,2024-11-07 12:00:00-05:00,5998.00,2024-11-07 15:00:00-05:00,6002.25,2,SESSION_FLATTEN,0.112,39.54,101.4,False
2024-11-08,MES,LONG,2024-11-08 12:00:00-05:00,6023.00,2024-11-08 15:00:00-05:00,6027.00,3,SESSION_FLATTEN,0.133,55.56,85.7,False
2024-11-13,MES,LONG,2024-11-13 12:00:00-05:00,6023.50,2024-11-13 15:00:00-05:00,6015.50,3,SESSION_FLATTEN,-0.300,-124.44,71.1,False
2024-11-15,MES,SHORT,2024-11-15 12:00:00-05:00,5896.50,2024-11-15 15:00:00-05:00,5897.25,2,SESSION_FLATTEN,-0.022,-10.46,90.7,False
2024-11-21,MES,LONG,2024-11-21 12:00:00-05:00,5953.25,2024-11-21 15:00:00-05:00,5969.75,2,SESSION_FLATTEN,0.450,162.04,97.7,False
2024-11-26,MES,LONG,2024-11-26 12:00:00-05:00,6028.50,2024-11-26 15:00:00-05:00,6037.00,3,SESSION_FLATTEN,0.299,123.06,75.9,False
2024-11-29,MES,LONG,2024-11-29 11:30:00-05:00,6044.75,2024-11-29 13:00:00-05:00,6051.25,4,SESSION_FLATTEN,0.288,124.08,60.1,False
2024-12-02,MES,LONG,2024-12-02 12:00:00-05:00,6062.25,2024-12-02 15:00:00-05:00,6062.25,4,SESSION_FLATTEN,0.000,-5.92,54.4,False
2024-12-03,MES,LONG,2024-12-03 13:00:00-05:00,6061.50,2024-12-03 15:00:00-05:00,6062.75,5,SESSION_FLATTEN,0.069,23.85,48.6,False
2024-12-04,MES,LONG,2024-12-04 12:00:00-05:00,6087.00,2024-12-04 15:00:00-05:00,6098.75,5,SESSION_FLATTEN,0.677,286.35,46.3,False
2024-12-05,MES,LONG,2024-12-05 13:00:00-05:00,6106.75,2024-12-05 15:00:00-05:00,6088.75,5,SESSION_FLATTEN,-1.059,-457.40,45.3,False
2024-12-10,MES,SHORT,2024-12-10 13:00:00-05:00,6061.50,2024-12-10 15:00:00-05:00,6048.00,5,SESSION_FLATTEN,0.755,330.10,47.7,False
2024-12-11,MES,LONG,2024-12-11 12:00:00-05:00,6096.00,2024-12-11 15:00:00-05:00,6092.25,4,SESSION_FLATTEN,-0.183,-80.92,54.7,False
2024-12-12,MES,LONG,2024-12-12 12:00:00-05:00,6074.25,2024-12-12 15:00:00-05:00,6059.75,5,SESSION_FLATTEN,-0.776,-369.90,52.2,False
2024-12-13,MES,SHORT,2024-12-13 12:00:00-05:00,6051.00,2024-12-13 15:00:00-05:00,6056.25,4,SESSION_FLATTEN,-0.251,-110.92,55.8,False
2024-12-16,MES,LONG,2024-12-16 13:00:00-05:00,6085.75,2024-12-16 15:00:00-05:00,6080.00,4,SESSION_FLATTEN,-0.290,-120.92,52.9,False
2024-12-19,MES,SHORT,2024-12-19 13:00:00-05:00,5963.00,2024-12-19 15:00:00-05:00,5934.75,2,SESSION_FLATTEN,0.673,279.54,112.0,False
2024-12-24,MES,LONG,2024-12-24 11:30:00-05:00,6079.25,2024-12-24 13:00:00-05:00,6097.75,2,SESSION_FLATTEN,0.403,182.04,124.0,False
